yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote
1951,LEF,8.954,0.0,69.13099999999999,8,97.794,-26.783375,-23.66,12.22425
1951,LIB,9.015999999999998,0.7190000000000001,49.163,11,126.48899999999999,13.468363636363636,4.61,11.498999999999999
1951,NAT,10.743,0.0,23.356,5,22.424,-0.4312000000000003,10.25,4.4848
1951,SIP,0.0,1.754,5.409,2,10.587000000000002,32.643,3.36,5.293500000000001
1951,SOC,7.8,3.4,53.678,12,317.11199999999997,-17.14916666666667,-14.0,26.426
1952,AGR,3.7190000000000003,1.3,12.971,3,36.911,0.09533333333333327,1.01,12.303666666666667
1952,CHR,8.341000000000001,1.7999999999999998,44.025999999999996,11,303.425,11.393363636363635,6.13,27.58409090909091
1952,CON,10.805000000000001,0.0,23.354,7,132.41199999999998,26.086428571428574,11.64,18.915999999999997
1952,ETH,1.724,0.0,18.646,3,12.042,23.498333333333335,-9.04,4.014
1952,LEF,5.007000000000001,0.0,51.073,7,88.078,-25.62685714285714,-23.66,12.582571428571429
1952,LIB,8.815999999999999,0.7190000000000001,41.66300000000001,11,129.065,13.995636363636363,4.61,11.733181818181817
1952,NAT,10.743,0.0,23.356,5,22.424,-0.4312000000000003,10.25,4.4848
1952,SIP,0.0,0.0,1.9,1,8.216000000000001,10.9,3.36,8.216000000000001
1952,SOC,8.500000000000002,1.7,59.17799999999999,12,320.395,-17.374166666666667,-14.0,26.699583333333333
1953,AGR,3.7190000000000003,1.3,12.971,3,36.911,0.09533333333333327,1.01,12.303666666666667
1953,CHR,12.778000000000002,1.7999999999999998,53.937999999999995,11,304.12800000000004,10.855454545454545,6.13,27.648000000000003
1953,CON,12.305000000000001,0.0,17.387000000000004,8,148.08299999999997,15.307250000000003,11.64,18.510374999999996
1953,ETH,1.724,0.0,8.621,1,7.567,10.345,-9.04,7.567
1953,LEF,5.007000000000001,0.0,28.817999999999998,7,87.26800000000001,-23.287142857142857,-23.66,12.466857142857146
1953,LIB,9.652999999999999,0.7190000000000001,55.022000000000006,14,159.786,9.582285714285714,4.61,11.413285714285715
1953,NAT,11.643,0.0,16.653000000000002,3,20.853,-3.5556666666666668,10.25,6.9510000000000005
1953,SIP,0.0,0.0,12.067000000000004,3,14.967,9.855666666666666,3.36,4.989
1953,SOC,12.186,0.0,77.018,13,366.8639999999999,-15.65546153846154,-14.0,28.220307692307685
1954,AGR,1.3,1.3,11.507,3,38.65800000000001,12.992666666666667,1.01,12.886000000000003
1954,CHR,10.464,6.2459999999999996,60.48100000000001,11,306.927,11.097909090909091,6.13,27.902454545454546
1954,CON,4.128,0.0,20.577,8,143.39999999999998,13.589500000000001,11.64,17.924999999999997
1954,ETH,4.561,0.0,12.345999999999998,2,9.18,1.245,-9.04,4.59
1954,LEF,1.9,0.0,34.397000000000006,7,91.366,-21.412714285714287,-23.66,13.052285714285714
1954,LIB,6.906,1.1190000000000002,53.653000000000006,14,154.41199999999998,10.032928571428572,4.61,11.02942857142857
1954,NAT,11.643,0.0,16.653000000000002,3,19.871,-3.5556666666666668,10.25,6.623666666666666
1954,SIP,0.0,0.0,12.067000000000004,3,14.967,9.855666666666666,3.36,4.989
1954,SOC,14.186,0.0,84.983,13,369.429,-21.920153846153845,-14.0,28.41761538461538
1955,AGR,1.3,1.3,11.507,3,38.65800000000001,12.992666666666667,1.01,12.886000000000003
1955,CHR,10.464,6.2459999999999996,60.48100000000001,11,306.927,11.097909090909091,6.13,27.902454545454546
1955,CON,4.128,0.0,20.577,8,143.39999999999998,13.589500000000001,11.64,17.924999999999997
1955,ETH,4.561,0.0,12.345999999999998,2,9.18,1.245,-9.04,4.59
1955,LEF,1.9,0.0,34.397000000000006,7,91.366,-21.412714285714287,-23.66,13.052285714285714
1955,LIB,6.906,1.1190000000000002,53.653000000000006,14,154.41199999999998,10.032928571428572,4.61,11.02942857142857
