partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Labour Party,1996,SOC,3.178,5.421,6.916,1,50.73,-22.617,-14.0,50.73,Malta
Labour Party,1998,SOC,2.91,4.145,4.409,1,46.966,-18.519,-14.0,46.966,Malta
Nationalist Party,1996,CON,3.925,3.584,7.508999999999999,1,47.807,-9.499,11.64,47.807,Malta
Nationalist Party,1998,CON,4.738,3.215,1.692,1,51.81100000000001,-18.105,11.64,51.81100000000001,Malta
